match_id,market,selection,line,odds,book,edge_pp,our_p,implied_p,stake,timestamp,status,units,clv_pp
E2,spreads,away,-0.25,2.13,bovada,22.8,0.6776,0.4496,0,2026-06-14T13:40:40-04:00,lost,-1.00,
E2,h2h,away,,2.65,mybookieag,20.9,0.5835,0.3740,0,2026-06-14T13:40:40-04:00,lost,-1.00,+0.3
G2,h2h,home,,1.83,draftkings,16.7,0.6941,0.5273,0,2026-06-15T09:05:08-04:00,lost,-1.00,+0.6
I1,totals,under,2.5,2.17,betus,8.1,0.5356,0.4541,0,2026-06-16T12:26:35-04:00,lost,-1.00,-0.8
I2,totals,under,3,1.83,betonlineag,8.4,0.6108,0.5271,0,2026-06-16T12:26:35-04:00,lost,-1.00,+0.0
J1,spreads,home,-1.5,2.32,betonlineag,12.8,0.5464,0.4185,0,2026-06-16T12:26:35-04:00,won,+1.32,+0.3
L1,totals,under,2.25,1.93,bovada,8.4,0.5792,0.4948,0,2026-06-17T01:14:00-04:00,open,,
L2,spreads,away,0.5,1.69,betus,19.3,0.7729,0.5803,0,2026-06-17T01:14:00-04:00,open,,
L2,totals,over,2,1.80,betonlineag,11.2,0.6521,0.5399,0,2026-06-17T01:14:00-04:00,open,,
L2,h2h,away,,3.25,draftkings,23.3,0.5272,0.2942,0,2026-06-17T08:26:12-04:00,open,,
